Merged_Location,lon,lat
"Big W Armadale, 10 Orchard Avenue, Armadale, Western Australia",116.0148239,-32.1499519
"Tas's Bakery, Shop 18/34 Dunn Bay Road, Dunsborough, Western Australia",115.1076997,-33.616118
"Forrest French Hot Bread Collie, 66 Forrest Street, Collie, Western Australia",116.15409,-33.35856
"Artezen Espresso Bar, U1 / 234 Naturaliste Terrace, Dunsborough, Western Australia",115.1057922,-33.6152397
"Peko Peko, 59 Dunn Bay Road, Dunsborough, Western Australia",115.1063224,-33.6147561
"Dunsborough Pharmacy, Shop 16/55 Dunn Bay Road, Dunsborough, Western Australia",115.105202,-33.6157876
"IGA Bullsbrook, 2544 Great Northern Highway, Bullsbrook, Western Australia",116.0310923,-31.6724265
"BP Muchea, Great Northern Highway, Muchea, Western Australia",115.9951014,-31.5681226
"AMPOL Meckering, 57/31 Great Eastern Highway, Meckering, Western Australia",117.0063221,-31.6324462
"IGA X-press Coolgardie, 30 Bayley Street, Coolgardie, Western Australia",121.1692319,-30.9544833
"BP Norseman, Coolgardie-Esperance Highway, Norseman, Western Australia",121.7792068,-32.1855494
"Jamaica Blue Stockland Bull Creek, Ground floor, Cnr South Street & Benningfield Road, Bull Creek, Western Australia",115.8568956,-32.0641894
"Tartan Spice, 15 Covenant Lane, Byford, Western Australia",115.9876301,-32.224601
"Grill'd Fremantle, Cnr South Tce &, Collie St, Fremantle, Western Australia",115.7476028,-32.0558611
"Bailey Brewing Co. 9861 West Swan Road (cnr Park Street), Henley Brook, Western Australia",116.0002582,-31.812648
"The Cutting Board, 2/202 Pier Street, Perth, Western Australia",115.8651505,-31.9509669
"Mustang Bar, 46 Lake Street, Northbridge, Western Australia",115.8572922,-31.9473133
"Mister Walker Restaurant, 80 South Perth Esplanade, South Perth, Western Australia",115.8536758,-31.9712944
"Chicken Treat Cooloongup, Ennis Avenue, Cooloongup, Western Australia",115.7640187,-32.2946686
"Moonlight Express Charter, Swan River, 6 Barrack Street, Perth, Western Australia",115.8570992,-31.9599647
"Busselton Beach Shack, 1 Foreshore Parade, Busselton, Western Australia",115.343673,-33.6450993
"Bayswater Waves Gym, Cnr Broun Avenue and, Priestley St, Embleton, Western Australia",115.91036,-31.8978485
"Humble Nightclub, 90 Aberdeen Street, Northbridge, Western Australia",115.8591363,-31.9463214
"Ice Arena Cockburn
			401 Progress Drive, Cockburn, Western Australia",115.8210133,-32.099608
"Snap Fitness
			35 Council Avenue, Rockingham, Western Australia",115.7517011,-32.2880107
"Infiniti9 Karaoke
			71 Francis Street, Northbridge, Western Australia",115.8582314,-31.9476458
"King Hot Pot
			889 Albany Highway, East Victoria Park, Western Australia",115.903998,-31.986475
"The Monkey Bar
			12 Pinjarra Road, Mandurah, Western Australia",115.7197253,-32.5346544
"Library Nightclub,
			'Club Bootylicious' event,
			69 Lake St, Perth, Western Australia",115.8574906,-31.9463494
"Petra Lounge
			624 Beaufort Street, Mount Lawley, Western Australia",115.8718556,-31.9355029
"Puma Welshpool
			23 Kewdale Road, Welshpool, Western Australia",115.9469845,-31.9916145
"La Lah Café
			3/27 Dunn Bay Road, Dunsborough, Western Australia",115.1080813,-33.6150755
"Hip-E Club
			23/663 Newcastle Street, Leederville, Western Australia",115.8421203,-31.9383663
"Sporting Globe
			330 Pinjarra Road, Mandurah, Western Australia",115.7416065,-32.5360668
"Albion Hotel, 535 Stirling Highway, Cottesloe, Western Australia",115.7629448,-31.9975116
"Top Floor - Mandurah Night Club, 7 Smart Street, Mandurah, Western Australia",115.7204231,-32.5334538
"Beach house cafe, Warnbro Centre, 206 Warnbro South Avenue, Warnbro, Western Australia",115.7628354,-32.346437
"Nando's Belmont Forum, 227 Belmont Avenue, Belmont, Western Australia",115.9342843,-31.9662428
"High Wycombe Kebab House, 530 Kalamunda Road, High Wycombe, Western Australia",116.0049917,-31.9355763
"Miami Bakehouse, Lot 602 Forrest Highway, West Pinjarra, Western Australia",115.7778587,-32.6858014
"Treendale Farm Hotel, 8 The Promenade, Australind, Australind, Western Australia",115.7399526,-33.283435
"Riverview Church (Mezzanine Floor),
			1 Thorogood Street, Burswood, Western Australia",115.8935335,-31.9665925
"Riverview Church (non-Mezzanine areas of the church),
			1 Thorogood Street, Burswood, Western Australia",115.8935335,-31.9665925
"Cockburn ARC pool (50 metre outdoor pool and warm water pool) and changeroom area,
			Cockburn Central, 31 Veterans Parade, Cockburn, Western Australia",115.850766,-32.1255031
"Cockburn ARC gym and changeroom area,
			Cockburn Central, 31 Veterans Parade, Cockburn, Western Australia",115.850766,-32.1255031
"Sporting Globe Bar and Grill,
			330 Pinjarra Road, Mandurah, Western Australia",115.7416065,-32.5360668
"Jo's Curry House,
			18 Wittenoom Street, Bunbury, Western Australia",115.6352746,-33.3213036
"Mercy Day Care Centre,
			1-7 Wilfred Court, Thornlie, Western Australia",115.9503711,-32.0447188
"Chicken Treat,
			Shop 3 530 Kalamunda Rd, High Wycombe, Western Australia",116.0047867,-31.9354738
"Coogee Beach Cafe,
			4 Powell Road, Coogee, Western Australia",115.7642999,-32.1114892
"Sushi Hub,
			96 William St, Perth, Western Australia",115.8575016,-31.9528421
"Ivy and Jack restaurant - Holiday Inn Hotel,
			788 Hay Street, Perth, Western Australia",115.8559727,-31.9531235
"Brew U (Brew University),
			Unit 3/176 Bannister Road, Canning Vale, Western Australia",115.9089279,-32.0597114
"Vodafone (Carousel),
			1382 Albany Highway, Cannington, Western Australia",115.9387971,-32.0179492
"Miss Maud (Carousel) - the one close to Woolworths,
			1382 Albany Highway, Cannington, Western Australia",115.938873,-32.020502
"7-Eleven,
			1256 Armadale Rd (Haynes Shopping Centre), Armadale, Western Australia",115.9843957,-32.1475693
"Haynes Shopping Centre,
			Cnr Armadale Rd and Eighth Rd, Armadale, Western Australia",115.9865666,-32.1476773
"Haynes Good Newspower (Haynes Shopping Centre)
			Armadale Rd, Armadale, Western Australia",115.9863458,-32.1478588
"Coles Haynes (Haynes Shopping Centre),
			Armadale Rd, Armadale, Western Australia",115.9865417,-32.1478233
"Subway (Haynes Shopping Centre),
			Armadale Rd, Armadale, Western Australia",115.9860708,-32.1476353
"Swan Yacht Club,
			75 Riverside Rd, East Fremantle, Western Australia",115.7628407,-32.0270805
"Body Transformation Studio,
			2/82 Norma Road, Booragoon, Western Australia",115.8226507,-32.0410466
"Hit studio Karaoke Box 
			64 Francis Street, Northbridge, Western Australia",115.8588038,-31.9473669
"IGA Willagee
			70 Archibald St, Willagee, Western Australia",115.8070728,-32.0527957
"IGA Willagee,
			70 Archibald St, Willagee, Western Australia",115.8070728,-32.0527957
